"";"tmc_log";"tmc_racine_n"
"cr.__tattaguine";0,0340333984917888;0,0346191608706354
"departement_foundiougne";0,0340341304830902;0,0346199182031386
"com._foundiougne";0,0340327092222603;0,03461844773942
"com._sokone";0,0340351822914048;0,0346210064255434
"com._passy";0,0340336722742495;0,034619444131254
"com._karang_poste";0,0340353243465791;0,0346211533988212
"com._soum";0,0340307194975079;0,0346163891355333
"arondissement_djilor";0,0340344659778501;0,0346202653127579
"cr.__djilor";0,0340333486959289;0,0346191093508859
"cr.__diossong";0,0340345329470758;0,0346203346004783
"cr.__diagane_barka";0,0340359253028834;0,0346217751611126
"cr.__mbam";0,0340365803149242;0,034622452851055
"cr.__niassene";0,0340352697887277;0,0346210969521155
"arondissement_niodior";0,034034727611392;0,0346205360041578
"cr.__bassoul";0,0340336703042602;0,0346194420930648
"cr.__dionewar";0,0340347834358599;0,0346205937613004
"cr.__djirnda";0,0340356917738942;0,0346215335469635
"arondissement_toubacouta";0,0340339889946109;0,0346197718163501
"cr.__keur_s.diane";0,0340348237127686;0,0346206354326204
"cr.__keur__samba_gueye";0,0340351976226334;0,0346210222875547
"cr.__nioro_alassane_tall";0,034034187968456;0,0346199776786449
"cr.__toubacouta";0,034033937737749;0,0346197187849888
"departement_gossas";0,0340342079519994;0,0346199983540183
"commune_gossas";0,0340334075027714;0,0346191701935707
"arondissement_colobane";0,0340338312903566;0,0346196086524233
"cr.__colobane";0,0340341646507267;0,0346199535536564
"cr.__mbar";0,034033607714342;0,0346193773363206
"arondissement_ouadiour";0,0340349389526656;0,0346207546622028
"cr.__ndiene_lagane";0,0340365315775477;0,0346224024262722
"cr.__ouadiour";0,0340349433337997;0,0346207591950149
"cr.__patar_lia";0,0340336522235125;0,0346194233863717
"region_kaffrine";0,0356165259267492;0,0362583920625155
"popu.urbaine_kaffrine";0,0612458414544945;0,0631602509246252
"popu.rurale_kaffrine";0,0300804090746712;0,0305373951804353
"departement_kaffrine";0,035616531177584;0,0362583975037369
"com._kaffrine";0,0356163938367888;0,0362582551831945
"com._n.ganda";0,0356189553460761;0,0362609095717388
"arrondissement_gniby";0,0356169177537929;0,0362587980966573
"cr.__boulel";0,0356161554694231;0,0362580081730735
"cr.__gniby";0,0356163719037435;0,0362582324548955
"cr.__kahi";0,0356156138882152;0,0362574469553616
"arrondissement_katakel";0,0356166437470455;0,0362585141547935
"cr.__diokoul_m.belbouck";0,0356164541433297;0,0362583176763474
"cr.__kathiote";0,0356165973129538;0,0362584660370717
"cr.__medinatoul_salam_2";0,0356161159339344;0,0362579672041077
"cr.__diamagadio";0,0356160247070848;0,0362578726695622
"departement_mbirkilane";0,0356163610911234;0,0362582212502289
"com_.birkelane";0,0356187841957368;0,0362607322153476
"arrondissment_keur_m.bouki";0,035616031383693;0,03625787958825
"cr.__keur_m.bouki";0,0356178330697988;0,0362597466013554
"cr.__touba_m.bella";0,0356163176335112;0,0362581762169221
"cr.__diamal";0,035616799675983;0,0362586757374952
"arrondissement_mabo";0,035616251619715;0,0362581078095883
"cr.__mabo";0,0356176036220806;0,0362595088339486
"cr.__n.diognick";0,0356157105435455;0,0362575471151723
"cr.__mbeuleup";0,0356229355250233;0,0362650340838031
"cr.__segre_gatta";0,0356126741990636;0,0362544006850642
"departement_koungheul";0,0356163662985797;0,0362582266464984
"com._koungheul";0,0356175663530127;0,0362594702135233
"arrondissement_ida_mouride";0,0356162560684437;0,0362581124196193
"cr.__saly_escale";0,0356168382832379;0,0362587157445986
"cr.__fass_thiekene";0,0356155391352592;0,0362573694920574
"cr.__ida_mouride";0,0356161565646598;0,0362580093080214
"arrondissement_lour_escale";0,0356165666295534;0,0362584342411387
"cr.__lour_escale";0,0356155099440249;0,0362573392424259
"cr.__ribot_escale";0,0356182657753182;0,0362601949967645
"arrondissement_missirah_wade";0,0356169525571553;0,0362588341619483
"cr.__gainthe_pathe";0,0356156563376561;0,036257490943912
"cr.__maka_yop";0,0356153542725353;0,0362571779267149
"cr.__missirah_wadene";0,0356178418639085;0,0362597557143374
"departement_malem_hoddar";0,0356166600875411;0,0362585310877712
"com._malem_hoddar";0,0356194148561563;0,0362613857441818
"arrondissement_darou_minam_ii";0,0356173187091078;0,0362592135902133
"cr.__darou_minam_ii";0,0356147287478249;0,0362565297224466
"cr.__n.dioum__n.gainth";0,035613165840335;0,0362549101506204
"cr.__khelcom";0,0356203345689116;0,0362623388074346
"cr.__ndiobene_samba_lamo";0,0356143157661693;0,0362561017675975
"arrondissement_sagna";0,0356168867606828;0,0362587659797748
"cr.__dianke_souf";0,0356159567835447;0,0362578022832614
"cr.__sagna";0,0356159149919525;0,0362577589763988
"region_kaolack";0,0306483213843669;0,0311228162709476
"zoneurbaine_kaolack";0,0417928245997895;0,0426784390495791
"zonerurale_kaolack";0,0238884032971812;0,0241760168463443
"departement_kaolack";0,0306483481037313;0,0311228438218942
"com._kaolack";0,0306482298465205;0,0311227218841899
"com._kahone";0,0306482359868344;0,0311227282156072
"com._gandiaye";0,0306488341202539;0,031123344964755
"com._ndoffane";0,0306462166208359;0,0311206460035318
"com._sibassor";0,0306453066638012;0,0311197077284733
"arrondissement_ndiedieng";0,030648040720578;0,0311225268721518
"cr.__keur_soce";0,0306472972123613;0,0311217602243656
"cr.__ndiaffate";0,0306479798298107;0,0311224640863119
"cr.__ndiedieng";0,0306477007816012;0,0311221763534746
"arrondissement_koumbal";0,0306481825070126;0,0311226730713487
"cr.__latmingue";0,0306492932465778;0,0311238183807345
"cr.__thiare";0,0306475301002222;0,0311220003601347
"cr.__keur_baka";0,0306489721286812;0,031123487268476
"arrondissement_ngothie";0,0306489230873744;0,031123436700834
"cr.__dya";0,030647590863131;0,0311220630141087
"cr.__ndiebel";0,0306484697022264;0,031122969204888
"cr.__thiomby";0,0306485162870218;0,0311230172395416
"departement_nioro";0,0306483830766273;0,0311228798832468
"com._nioro";0,0306483578884844;0,0311228539111768
"com._keur_madiabel";0,0306473800072696;0,0311218455960007
"arrondissement_medina_sabakh";0,0306484467010634;0,0311229454878608
"cr.__kayemor";0,0306471467677126;0,0311216050976264
"cr.__medina_sabakh";0,0306477230238708;0,0311221992879722
"cr.__ngayene";0,0306474956886433;0,0311219648775993
"arrondissement_paoskoto";0,03064830061253;0,0311227948526329
"cr.__gainte_kaye";0,0306490760970957;0,0311235944727557
"cr.__paoskoto";0,0306500570878692;0,0311246059959842
"cr.__porokhane";0,0306479978324593;0,0311224826492473
"cr.__taiba_niassene";0,0306488524624723;0,0311233638778448
"cr._dabaly";0,0306460767168818;0,0311205017456864
"cr._darou_salam";0,0306493223241053;0,0311238483632661
"arrondissement_wack_ngouna";0,0306485643804914;0,0311230668298264
"cr.__keur_maba_diakhou";0,0306493520543516;0,0311238790188326
"cr.__ndrame_escale";0,0306477892952887;0,0311222676219047
"cr.__wack_ngouna";0,0306485942368599;0,0311230976154169
"cr.__k._mandongo";0,0306478433501504;0,0311223233590778
"departement_guinguineo";0,0306482950421051;0,0311227891088408
"com._guinguineo";0,0306484259838558;0,0311229241258728
"com._fass";0,0306502976221825;0,0311248540168632
"com._mboss";0,0306437316771098;0,0311180837299352
"arrondissement_mbadakhoune";0,0306479187642011;0,0311224011201918
"cr.__mbadakhoune";0,030648654579977;0,0311231598366006
"cr.__ndiago";0,0306510074734503;0,0311255859624078
"cr.__ngathie_naoude";0,0306490023147724;0,0311235183940641
"arrondissement_nguelou";0,0306487593698884;0,031123267887911
"cr._khelcom_birame";0,0306488364474171;0,0311233473643473
"cr.__gagnick";0,0306512269625803;0,0311258122832905
"cr.__nguelou";0,0306471988574744;0,0311216588085066
"cr.__ourour";0,0306497106216612;0,031124248746214
"cr.__dara_mboss";0,030652255518301;0,0311268728541889
"cr.__panal_ouolof";0,0306475666211203;0,0311220380176369
"region_kedougou";0,033239498087415;0,0337981022629523
"zoneurbaine_kedougou";0,0460080030142901;0,0470827907419427
"zonerurale_kedougou";0,0285613697805369;0,0289731567536868
"departement_kedougou";0,0332393345512377;0,0337979331995764
"com_.kedougou";0,0332388060727393;0,0337973868597414
"arrondissement__bandafassi";0,0332392869909703;0,0337978840318713
"cr.__bandafassi";0,0332385354070738;0,0337971070463214
"cr.__tomboronkoto";0,0332374890824538;0,0337960253595222
"cr.__dindifelo";0,033234204882154;0,0337926301718809
"cr.__ninefecha";0,0332397678095114;0,0337983811011813
"arrondissement__fongolimbi";0,0332409811107262;0,0337996354107739
"cr.__dimboli";0,0332426762349162;0,0338013878310288
"cr.__fongolembi";0,0332388564636829;0,0337974389537685
"departement_salemata";0,033240474102025;0,0337991112654963
"com._salemata";0,0332432321250703;0,0338019625112014
"arrondissement__dakateli";0,0332390235317614;0,0337976116683345
"cr.__dakateli";0,0332429055289538;0,0338016248755502
"cr.__kevoye";0,033235730768493;0,0337942076231363
"arrondissement__dar_salam";0,0332372655845758;0,03379579430833
"cr.__dar_salam";0,0332360963170344;0,03379458552517
"cr.__ethiolo";0,0332449423442348;0,0338037305406418
"cr.__oubadji";0,0332274138405349;0,0337856096669424
"departement_saraya";0,0332393257898963;0,0337979241421198
"com._saraya";0,033236677490321;0,0337951863391415
"arrondissement__bembou";0,0332403229316382;0,0337989549856965
"cr.__medina_baffe";0,0332381052638558;0,0337966623656027
"cr.__bembou";0,0332414250804963;0,0338000943866623
"arrondissement__sabodala";0,0332388487996504;0,0337974310307114
"cr.__khossanto";0,0332414476148006;0,0338001176826284
"cr.__missirah_sirimana";0,0332381828360353;0,0337967425594661
"cr.__sabodala";0,0332390019060786;0,0337975893117555
"region_de_kolda";0,0312299967651122;0,0317227694997926
"pop.urbaine_de_kolda";0,0490164384534821;0,0502376148803072
"pop.rurale_de_kolda";0,0241092636753787;0,0244022417299028
"departement__kolda";0,0312298953899535;0,0317226649087383
"com._kolda";0,0312299770220526;0,0317227491304286
"com._dabo";0,0312278867950643;0,0317205925979478
"com._salikegne";0,0312258709560962;0,0317185128174693
"com._sare_yoba_diega";0,031231785347927;0,0317246148230581
"arrondissement_dioulacolon";0,0312297981902652;0,0317225646256218
"cr.__dioulacolon";0,0312292228301527;0,0317219710137817
"cr.__medina__el_hadji";0,0312301992197708;0,0317229783768949
"cr.__tankanto_escale";0,0312299162728632;0,0317226864541098
"cr.__guiro_yero_bocar";0,0312301460932992;0,0317229235650947
"arrondissement_mampatim";0,0312295752344736;0,0317223345971265
"cr.__bagadadji";0,0312315722671259;0,031724394982374
"cr.__coumbacara";0,0312275383504482;0,0317202331005246
"cr.__mampatim";0,0312281742751742;0,0317208891971399
"cr.__dialambere";0,0312315016344635;0,0317243221089356
"cr.__medina_cherif";0,0312284843045879;0,0317212090610117
"arrondissement_sare_bidji";0,0312291384066058;0,0317218839121571
"cr.__sare_bidji";0,0312312934104766;0,0317241072792063
"cr.__thietty";0,0312339839198115;0,0317268831462822
"departement_velingara";0,031229954473826;0,0317227258669106
"com._velingara";0,0312304458929302;0,031723232875293
"com._diaoube__kabendou";0,0312306246668666;0,031723417320533
"com._kounkane";0,0312287950887333;0,0317215297036559
"arrondissement_bonconto";0,0312299651317331;0,0317227368629156
"cr.__bonconto";0,0312280168635934;0,0317207267923365
"cr.__linkering";0,0312308654450851;0,0317236657370894
"cr.__medina_gounass";0,0312295306295976;0,0317222885772805
"cr.__sinthiang__koundara";0,031230926528245;0,0317237287580328
"arrondissement_pakour";0,0312305085832211;0,0317232975543245
"cr.__ouassadou";0,0312307559368083;0,0317235527548148
"cr.__paroumba";0,0312300701415055;0,0317228452038911
"cr.__pakour";0,031230701886544;0,0317234969898854
"arrondissement_sare_coly_sall";0,0312301292845638;0,0317229062231372
"cr.__kandia";0,0312311264508552;0,0317239350229543
"cr.__sare_coly_salle";0,031229388184571;0,0317221416135822
"cr.__nemataba";0,0312284019768269;0,0317211241217181
"cr.__kandiaye";0,0312310191599707;0,0317238243283868
"departement_medina_yoro_foulah";0,0312300740000413;0,0317228491848307
"com._medina_yoro_foulah";0,0312313982752262;0,0317242154707023
"com._pata";0,0312378163158222;0,0317308371398499
"arrondissement_fafacourou";0,0312310795606466;0,031723886645205
"cr.__fafacourou";0,0312266647585943;0,0317193317985272
"cr.__badion";0,0312290067346852;0,0317217480633643
"arrondissement_ndorna";0,031230059111701;0,0317228338241897
"cr.__ndorna";0,0312312671302455;0,0317240801652587
"cr.__bignarabe";0,0312321424771826;0,0317249832821676
"cr.__bourouco";0,0312298186834646;0,0317225857689183
"cr.__koulinto";0,0312267321178488;0,0317194012943747
"arrondissement_niaming";0,0312302401999011;0,0317230206570378
"cr.__dinguiraye.1";0,0312287158590784;0,0317214479607184
"cr.__kerewane";0,0312306461590636;0,031723439494536
"cr.__niaming";0,0312308979515168;0,0317236992747447
"region_de_louga";0,0275501777473093;0,0279331931852245
"zoneurbaine_de_louga";0,0406776200013624;0,0415162873985486
"zonerurale_de_louga";0,0235140374676495;0,0237926721022748
"departement_kebemer";0,0275501187339368;0,0279331325234218
"com._kebemer";0,0275510153333602;0,0279340541680888
"com._gueoul";0,0275529993731786;0,0279360936322062
"arrondissement__darou_mousty";0,0275505212729024;0,027933546306645
"cr.__darou_marnane";0,0275510350806472;0,0279340744669978
"cr.__darou_mousty";0,0275496669171069;0,0279326680860374
"cr.__mbadiane";0,0275514186171898;0,0279344687173544
"cr.__ndoyene";0,027546445716057;0,0279293569135808
"cr.__sam_yabal";0,0275523243034287;0,0279353997038787
"cr.__touba_merina";0,027549254971794;0,0279322446340802
"cr.__mbacke_cadior";0,027549368822478;0,0279323616648759
"arrondissement_ndande";0,027550238353477;0,0279332554843179
"cr.__badegne_ouolof";0,0275514983035509;0,0279345506297148
"cr.__diokoul_diawrigne";0,0275513439935959;0,0279343920091928
"cr.__kab_gaye";0,0275478595248055;0,0279308102101257
"cr.__ndande";0,0275509726838051;0,0279340103271597
"cr.__thieppe";0,0275507803879402;0,0279338126597191
"arrondissement_sagatta_gueth";0,027550107816007;0,0279331213005201
"cr.__kanene_ndiob";0,0275511567465833;0,027934199531567
"cr.__loro";0,0275508056639441;0,0279338386417787
"cr.__sagatta_gueth";0,0275517613130752;0,0279348209863277
"cr.__thiolom_fall";0,0275494066149438;0,0279324005129753
"cr.__ngourane_ouolof";0,0275514646300088;0,0279345160155182
"departement_linguere";0,0275501603027993;0,0279331752534338
"com._linguere";0,0275504121696471;0,0279334341557549
"com._dahra";0,0275493069411302;0,0279322980550378
"com._mbeuleukhe";0,0275649684689939;0,0279483971714338
"arrondissement_barkedji";0,0275505627027659;0,0279335888937924
"cr.__barkedji";0,0275485839936886;0,0279315549142813
"cr.__gassane";0,0275514169522841;0,0279344670059405
"cr.__thiargny";0,027550103547595;0,027933116912878
"cr.__thiel";0,0275481715888532;0,0279311309904251
"arrondissement_dodji";0,0275495522465015;0,0279325502123828
"cr.__dodji";0,0275504383734149;0,0279334610914843
"cr.__labgar";0,0275530886037076;0,0279361853554918
"cr.__ouarkhoh";0,0275509738905019;0,0279340115675644
"arrondissement_yang_yang";0,0275501964161524;0,027933212375548
"cr.__kamb";0,0275523582210611;0,0279354345690144
"cr.__mboula";0,0275472973868305;0,027930232371344
"cr.__tessekre_forage";0,0275510989099264;0,027934140079291
"cr._yang_yang";0,0275483724578025;0,0279313374698922
"arrondissement_sagatta_djolo";0,0275497976159179;0,0279328024356238
"cr.__boulal";0,027550027029589;0,0279330382574887
"cr.__deali";0,0275507529694269;0,0279337844753027
"cr.__sagatta_djolof";0,027547569151002;0,02793051172599
"cr.__thiamene_djolof";0,027549274575812;0,0279322647856826
"cr.__affe_djoloff";0,0275521941445354;0,0279352659089536
"departement_louga";0,0275502300209276;0,0279332469190132
"com._louga";0,0275504320346318;0,0279334545756371
"com._ndiagne";0,0275503595458093;0,0279333800619541
"arrondissement_coki";0,0275506681944304;0,0279336973322233
"cr.__coki";0,0275503993284676;0,0279334209558773
"cr.__pete_ouarack";0,0275481318739761;0,0279310901662675
"cr.__thiamene_cayor";0,0275507561521604;0,0279337877469419
"cr.__guet_ardo";0,0275484845260912;0,0279314526684045
"arrondissement_k_eur_momar_sa";0,0275502552309085;0,0279332728331911
"cr.__gande";0,0275505718934952;0,0279335983412516
"cr.__k.momar_sarr";0,0275494733339115;0,0279324690955662
"cr.__nguer_malal";0,0275494506144705;0,0279324457415153
"cr.__syer";0,0275468964354273;0,0279298202213576
"arrondissement_mbediene";0,0275505870673653;0,0279336139389827
"cr.__kelle_gueye";0,0275518769228179;0,0279349398256148
"cr.__mbediene";0,0275509026564322;0,0279339383436439
"cr.__nguidile";0,0275486744996659;0,0279316479482357
"cr.__niomre";0,0275495972437375;0,0279325964665074
"ar.rondissement_sakal";0,0275500998652737;0,0279331131276981
"cr.__leona";0,0275510309315047;0,0279340702019528
"cr.__ngueune_sarr";0,0275505426231095;0,0279335682532393
"cr.__sakal";0,0275510266283156;0,0279340657785583
"region_matam";0,0373567020989736;0,0380632341407861
"zoneurbaine_matam";0,0694583222614628;0,0719273847644979
"zonerurale_matam";0,0260252327779851;0,0263668462334667
"departement_matam";0,0373566522033666;0,038063182345992
"com_.matam";0,0373573046376935;0,0380638596142666
"com._ourossogui";0,0373560932900635;0,0380626021588322
"com._thilogne";0,0373586692467581;0,0380652761665856
"com._nguidilogne";0,0373551172262972;0,0380615889440337
"arrondissement_agnam_civol";0,0373570484745391;0,038063593700588
"cr.__agnam_civol";0,0373574649537583;0,0380640260325931
"cr.__orefonde";0,0373574824602591;0,0380640442054618
"cr.__dabia";0,0373575165564007;0,0380640795994411
"arrondissement_ogo";0,0373566215951014;0,0380631505726794
"cr.__bokidiawe";0,0373570857446361;0,0380636323893195
"cr.__nabadji_civol";0,0373571810358252;0,0380637313076422
"cr.__ogo";0,0373571212941097;0,0380636692919358
"departement_kanel";0,0373566564125263;0,0380631867153658
"com._kanel";0,0373571562054464;0,0380637055321269
"com._semme";0,037359240349511;0,0380658690086919
"com._waounde";0,0373546444184329;0,0380610981404668
"com._dembancane";0,0373585690825879;0,0380651721896439
"com._hamady_ounare";0,0373558660494415;0,0380623662688675
"com._sinthiou_bamanbe_banadji";0,0373568273590898;0,0380633641687156
"com._odobere";0,0373607343783289;0,0380674199101736
"arrondissement_orkadiere";0,0373568773654934;0,0380634160785323
"cr.__bokiladji";0,0373560705078141;0,0380625785094313
"cr.__orkadiere";0,0373564642439326;0,0380629872322422
"cr.__aoure";0,0373573950833584;0,038063953502647
"arrondissement_ouro_sidy";0,037356977209516;0,0380635197229646
"cr.__ndendory";0,0373571851412839;0,03806373556937
"cr.__ouro_sidy";0,0373559908459206;0,0380624958154041
"departement_ranerou";0,0373571796295758;0,0380637298478657
"com._ranerou";0,0373644575308691;0,0380712848007196
"arrondissement_velingara";0,0373562446907058;0,0380627593221887
"cr.__lougre_thioly";0,0373641484027177;0,038070963903712
"cr.__velingara";0,0373568989203768;0,0380634384538685
"cr.__oudalaye";0,037356813904936;0,0380633502024514
"region_saint_louis";0,0260174211628378;0,0263588286819791
"urbain_saint_louis";0,0388840765307145;0,0396499568345108
"rural_saint_louis";0,0135995152243183;0,0136924092584298
"departement_dagana";0,026017473179805;0,026358882070054
"com._dagana";0,0260172051929054;0,0263586070193562
