"";"expCoeff";"penteInfCoeff";"distrouteCoeff";"ratioliste";"voisUrbCoef";"routesCoef";"route_vois";"popHaIrrig";"popHaUrb";"rmsle";"rmse"
"69";"0.0";"3.0";"0.0";"0.2";"0.0";"9.0";"true";"15.0";"70.0";2,71;29,04
"70";"0.0";"3.0";"0.0";"0.2";"0.0";"9.0";"true";"9.0";"60.0";2,71;29,04
"71";"0.0";"3.0";"0.0";"0.2";"0.0";"9.0";"true";"9.0";"65.0";2,71;29,04
"72";"0.0";"3.0";"0.0";"0.2";"0.0";"9.0";"true";"9.0";"70.0";2,71;29,04
"73";"0.0";"3.0";"0.0";"0.2";"3.0";"0.0";"false";"12.0";"60.0";2,67;29,24
"74";"0.0";"3.0";"0.0";"0.2";"3.0";"0.0";"false";"12.0";"65.0";2,67;29,23
"75";"0.0";"3.0";"0.0";"0.2";"3.0";"0.0";"false";"12.0";"70.0";2,67;29,24
"76";"0.0";"3.0";"0.0";"0.2";"3.0";"0.0";"false";"15.0";"60.0";2,67;29,23
"77";"0.0";"3.0";"0.0";"0.2";"3.0";"0.0";"false";"15.0";"65.0";2,67;29,23
"78";"0.0";"3.0";"0.0";"0.2";"3.0";"0.0";"false";"15.0";"70.0";2,67;29,23
"79";"0.0";"3.0";"0.0";"0.2";"3.0";"0.0";"false";"9.0";"60.0";2,67;29,23
"80";"0.0";"3.0";"0.0";"0.2";"3.0";"0.0";"false";"9.0";"65.0";2,67;29,23
"81";"0.0";"3.0";"0.0";"0.2";"3.0";"0.0";"false";"9.0";"70.0";2,67;29,22
"82";"0.0";"3.0";"0.0";"0.2";"3.0";"0.0";"true";"12.0";"60.0";2,67;29,23
"83";"0.0";"3.0";"0.0";"0.2";"3.0";"0.0";"true";"12.0";"65.0";2,67;29,23
"84";"0.0";"3.0";"0.0";"0.2";"3.0";"0.0";"true";"12.0";"70.0";2,67;29,23
"85";"0.0";"3.0";"0.0";"0.2";"3.0";"0.0";"true";"15.0";"60.0";2,67;29,24
"86";"0.0";"3.0";"0.0";"0.2";"3.0";"0.0";"true";"15.0";"65.0";2,67;29,23
"87";"0.0";"3.0";"0.0";"0.2";"3.0";"0.0";"true";"15.0";"70.0";2,67;29,24
"88";"0.0";"3.0";"0.0";"0.2";"3.0";"0.0";"true";"9.0";"60.0";2,67;29,22
"89";"0.0";"3.0";"0.0";"0.2";"3.0";"0.0";"true";"9.0";"65.0";2,67;29,23
"90";"0.0";"3.0";"0.0";"0.2";"3.0";"0.0";"true";"9.0";"70.0";2,67;29,23
"91";"0.0";"3.0";"0.0";"0.2";"3.0";"3.0";"false";"12.0";"60.0";2,68;29,02
"92";"0.0";"3.0";"0.0";"0.2";"3.0";"3.0";"false";"12.0";"65.0";2,68;29,02
"93";"0.0";"3.0";"0.0";"0.2";"3.0";"3.0";"false";"12.0";"70.0";2,68;29,01
"94";"0.0";"3.0";"0.0";"0.2";"3.0";"3.0";"false";"15.0";"60.0";2,68;29,01
"95";"0.0";"3.0";"0.0";"0.2";"3.0";"3.0";"false";"15.0";"65.0";2,68;29,01
"96";"0.0";"3.0";"0.0";"0.2";"3.0";"3.0";"false";"15.0";"70.0";2,68;29,02
"97";"0.0";"3.0";"0.0";"0.2";"3.0";"3.0";"false";"9.0";"60.0";2,68;29,02
"98";"0.0";"3.0";"0.0";"0.2";"3.0";"3.0";"false";"9.0";"65.0";2,68;29,01
"99";"0.0";"3.0";"0.0";"0.2";"3.0";"3.0";"false";"9.0";"70.0";2,68;29,01
"100";"0.0";"3.0";"0.0";"0.2";"3.0";"3.0";"true";"12.0";"60.0";2,68;29,02
"101";"0.0";"3.0";"0.0";"0.2";"3.0";"3.0";"true";"12.0";"65.0";2,68;29,03
"102";"0.0";"3.0";"0.0";"0.2";"3.0";"3.0";"true";"12.0";"70.0";2,68;29,02
"103";"0.0";"3.0";"0.0";"0.2";"3.0";"3.0";"true";"15.0";"60.0";2,68;29,03
"104";"0.0";"3.0";"0.0";"0.2";"3.0";"3.0";"true";"15.0";"65.0";2,68;29,03
"105";"0.0";"3.0";"0.0";"0.2";"3.0";"3.0";"true";"15.0";"70.0";2,68;29,02
"106";"0.0";"3.0";"0.0";"0.2";"3.0";"3.0";"true";"9.0";"60.0";2,68;29,02
"107";"0.0";"3.0";"0.0";"0.2";"3.0";"3.0";"true";"9.0";"65.0";2,68;29,02
"108";"0.0";"3.0";"0.0";"0.2";"3.0";"3.0";"true";"9.0";"70.0";2,68;29,03
"109";"0.0";"3.0";"0.0";"0.2";"3.0";"6.0";"false";"12.0";"60.0";2,69;29
"110";"0.0";"3.0";"0.0";"0.2";"3.0";"6.0";"false";"12.0";"65.0";2,69;29
"111";"0.0";"3.0";"0.0";"0.2";"3.0";"6.0";"false";"12.0";"70.0";2,69;28,99
"112";"0.0";"3.0";"0.0";"0.2";"3.0";"6.0";"false";"15.0";"60.0";2,69;28,99
"113";"0.0";"3.0";"0.0";"0.2";"3.0";"6.0";"false";"15.0";"65.0";2,69;29
"114";"0.0";"3.0";"0.0";"0.2";"3.0";"6.0";"false";"15.0";"70.0";2,69;28,99
"115";"0.0";"3.0";"0.0";"0.2";"3.0";"6.0";"false";"9.0";"60.0";2,69;28,99
"116";"0.0";"3.0";"0.0";"0.2";"3.0";"6.0";"false";"9.0";"65.0";2,69;28,99
"117";"0.0";"3.0";"0.0";"0.2";"3.0";"6.0";"false";"9.0";"70.0";2,69;28,99
"118";"0.0";"3.0";"0.0";"0.2";"3.0";"6.0";"true";"12.0";"60.0";2,69;29
"119";"0.0";"3.0";"0.0";"0.2";"3.0";"6.0";"true";"12.0";"65.0";2,69;29,01
"120";"0.0";"3.0";"0.0";"0.2";"3.0";"6.0";"true";"12.0";"70.0";2,69;29,01
"121";"0.0";"3.0";"0.0";"0.2";"3.0";"6.0";"true";"15.0";"60.0";2,69;29
"122";"0.0";"3.0";"0.0";"0.2";"3.0";"6.0";"true";"15.0";"65.0";2,69;29
"123";"0.0";"3.0";"0.0";"0.2";"3.0";"6.0";"true";"15.0";"70.0";2,69;29
"124";"0.0";"3.0";"0.0";"0.2";"3.0";"6.0";"true";"9.0";"60.0";2,69;29
"125";"0.0";"3.0";"0.0";"0.2";"3.0";"6.0";"true";"9.0";"65.0";2,69;29,01
"126";"0.0";"3.0";"0.0";"0.2";"3.0";"6.0";"true";"9.0";"70.0";2,69;29
"127";"0.0";"3.0";"0.0";"0.2";"3.0";"9.0";"false";"12.0";"60.0";2,69;28,99
"128";"0.0";"3.0";"0.0";"0.2";"3.0";"9.0";"false";"12.0";"65.0";2,69;28,99
"129";"0.0";"3.0";"0.0";"0.2";"3.0";"9.0";"false";"12.0";"70.0";2,69;28,99
"130";"0.0";"3.0";"0.0";"0.2";"3.0";"9.0";"false";"15.0";"60.0";2,69;28,99
"131";"0.0";"3.0";"0.0";"0.2";"3.0";"9.0";"false";"15.0";"65.0";2,69;28,99
"132";"0.0";"3.0";"0.0";"0.2";"3.0";"9.0";"false";"15.0";"70.0";2,69;28,99
"133";"0.0";"3.0";"0.0";"0.2";"3.0";"9.0";"false";"9.0";"60.0";2,69;28,99
"134";"0.0";"3.0";"0.0";"0.2";"3.0";"9.0";"false";"9.0";"65.0";2,69;28,99
"135";"0.0";"3.0";"0.0";"0.2";"3.0";"9.0";"false";"9.0";"70.0";2,69;28,99
"136";"0.0";"3.0";"0.0";"0.2";"3.0";"9.0";"true";"12.0";"60.0";2,69;29,01
"137";"0.0";"3.0";"0.0";"0.2";"3.0";"9.0";"true";"12.0";"65.0";2,69;29,01
"138";"0.0";"3.0";"0.0";"0.2";"3.0";"9.0";"true";"12.0";"70.0";2,69;29
"139";"0.0";"3.0";"0.0";"0.2";"3.0";"9.0";"true";"15.0";"60.0";2,69;29
"140";"0.0";"3.0";"0.0";"0.2";"3.0";"9.0";"true";"15.0";"65.0";2,69;29,01
"141";"0.0";"3.0";"0.0";"0.2";"3.0";"9.0";"true";"15.0";"70.0";2,69;29
"142";"0.0";"3.0";"0.0";"0.2";"3.0";"9.0";"true";"9.0";"60.0";2,69;29
"143";"0.0";"3.0";"0.0";"0.2";"3.0";"9.0";"true";"9.0";"65.0";2,69;29
"144";"0.0";"3.0";"0.0";"0.2";"3.0";"9.0";"true";"9.0";"70.0";2,69;29
"145";"0.0";"3.0";"0.0";"0.2";"6.0";"0.0";"false";"12.0";"60.0";2,67;29,24
"146";"0.0";"3.0";"0.0";"0.2";"6.0";"0.0";"false";"12.0";"65.0";2,67;29,23
"147";"0.0";"3.0";"0.0";"0.2";"6.0";"0.0";"false";"12.0";"70.0";2,67;29,23
"148";"0.0";"3.0";"0.0";"0.2";"6.0";"0.0";"false";"15.0";"60.0";2,67;29,24
"149";"0.0";"3.0";"0.0";"0.2";"6.0";"0.0";"false";"15.0";"65.0";2,67;29,23
"150";"0.0";"3.0";"0.0";"0.2";"6.0";"0.0";"false";"15.0";"70.0";2,67;29,22
"151";"0.0";"3.0";"0.0";"0.2";"6.0";"0.0";"false";"9.0";"60.0";2,67;29,23
"152";"0.0";"3.0";"0.0";"0.2";"6.0";"0.0";"false";"9.0";"65.0";2,67;29,23
"153";"0.0";"3.0";"0.0";"0.2";"6.0";"0.0";"false";"9.0";"70.0";2,67;29,23
"154";"0.0";"3.0";"0.0";"0.2";"6.0";"0.0";"true";"12.0";"60.0";2,67;29,23
"155";"0.0";"3.0";"0.0";"0.2";"6.0";"0.0";"true";"12.0";"65.0";2,67;29,24
"156";"0.0";"3.0";"0.0";"0.2";"6.0";"0.0";"true";"12.0";"70.0";2,67;29,23
"157";"0.0";"3.0";"0.0";"0.2";"6.0";"0.0";"true";"15.0";"60.0";2,67;29,23
"158";"0.0";"3.0";"0.0";"0.2";"6.0";"0.0";"true";"15.0";"65.0";2,67;29,24
"159";"0.0";"3.0";"0.0";"0.2";"6.0";"0.0";"true";"15.0";"70.0";2,67;29,23
"160";"0.0";"3.0";"0.0";"0.2";"6.0";"0.0";"true";"9.0";"60.0";2,67;29,23
"161";"0.0";"3.0";"0.0";"0.2";"6.0";"0.0";"true";"9.0";"65.0";2,67;29,23
"162";"0.0";"3.0";"0.0";"0.2";"6.0";"0.0";"true";"9.0";"70.0";2,67;29,23
"163";"0.0";"3.0";"0.0";"0.2";"6.0";"3.0";"false";"12.0";"60.0";2,68;29,06
"164";"0.0";"3.0";"0.0";"0.2";"6.0";"3.0";"false";"12.0";"65.0";2,68;29,06
"165";"0.0";"3.0";"0.0";"0.2";"6.0";"3.0";"false";"12.0";"70.0";2,68;29,05
"166";"0.0";"3.0";"0.0";"0.2";"6.0";"3.0";"false";"15.0";"60.0";2,68;29,05
"167";"0.0";"3.0";"0.0";"0.2";"6.0";"3.0";"false";"15.0";"65.0";2,68;29,06
"168";"0.0";"3.0";"0.0";"0.2";"6.0";"3.0";"false";"15.0";"70.0";2,68;29,05
"169";"0.0";"3.0";"0.0";"0.2";"6.0";"3.0";"false";"9.0";"60.0";2,68;29,06
"170";"0.0";"3.0";"0.0";"0.2";"6.0";"3.0";"false";"9.0";"65.0";2,68;29,05
"171";"0.0";"3.0";"0.0";"0.2";"6.0";"3.0";"false";"9.0";"70.0";2,68;29,06
"172";"0.0";"3.0";"0.0";"0.2";"6.0";"3.0";"true";"12.0";"60.0";2,68;29,07
"173";"0.0";"3.0";"0.0";"0.2";"6.0";"3.0";"true";"12.0";"65.0";2,68;29,06
"174";"0.0";"3.0";"0.0";"0.2";"6.0";"3.0";"true";"12.0";"70.0";2,68;29,06
"175";"0.0";"3.0";"0.0";"0.2";"6.0";"3.0";"true";"15.0";"60.0";2,68;29,06
