"";"expCoeff";"penteInfCoeff";"distrouteCoeff";"ratioliste";"voisUrbCoef";"routesCoef";"route_vois";"popHaIrrig";"popHaUrb";"rmse";"rmsle"
"96";"0.0";"3.0";"0.0";"0.2";"3.0";"3.0";"false";"15.0";"70.0";13,91;1,34
"97";"0.0";"3.0";"0.0";"0.2";"3.0";"3.0";"false";"9.0";"60.0";13,91;1,34
"98";"0.0";"3.0";"0.0";"0.2";"3.0";"3.0";"false";"9.0";"65.0";13,9;1,34
"99";"0.0";"3.0";"0.0";"0.2";"3.0";"3.0";"false";"9.0";"70.0";13,9;1,34
"100";"0.0";"3.0";"0.0";"0.2";"3.0";"3.0";"true";"12.0";"60.0";13,9;1,34
"101";"0.0";"3.0";"0.0";"0.2";"3.0";"3.0";"true";"12.0";"65.0";13,91;1,34
"102";"0.0";"3.0";"0.0";"0.2";"3.0";"3.0";"true";"12.0";"70.0";13,9;1,34
"103";"0.0";"3.0";"0.0";"0.2";"3.0";"3.0";"true";"15.0";"60.0";13,91;1,34
"104";"0.0";"3.0";"0.0";"0.2";"3.0";"3.0";"true";"15.0";"65.0";13,91;1,34
"105";"0.0";"3.0";"0.0";"0.2";"3.0";"3.0";"true";"15.0";"70.0";13,9;1,34
"106";"0.0";"3.0";"0.0";"0.2";"3.0";"3.0";"true";"9.0";"60.0";13,9;1,34
"107";"0.0";"3.0";"0.0";"0.2";"3.0";"3.0";"true";"9.0";"65.0";13,9;1,34
"108";"0.0";"3.0";"0.0";"0.2";"3.0";"3.0";"true";"9.0";"70.0";13,91;1,34
"109";"0.0";"3.0";"0.0";"0.2";"3.0";"6.0";"false";"12.0";"60.0";13,91;1,34
"110";"0.0";"3.0";"0.0";"0.2";"3.0";"6.0";"false";"12.0";"65.0";13,91;1,34
"111";"0.0";"3.0";"0.0";"0.2";"3.0";"6.0";"false";"12.0";"70.0";13,9;1,34
"112";"0.0";"3.0";"0.0";"0.2";"3.0";"6.0";"false";"15.0";"60.0";13,9;1,34
"113";"0.0";"3.0";"0.0";"0.2";"3.0";"6.0";"false";"15.0";"65.0";13,91;1,34
"114";"0.0";"3.0";"0.0";"0.2";"3.0";"6.0";"false";"15.0";"70.0";13,9;1,34
"115";"0.0";"3.0";"0.0";"0.2";"3.0";"6.0";"false";"9.0";"60.0";13,9;1,34
"116";"0.0";"3.0";"0.0";"0.2";"3.0";"6.0";"false";"9.0";"65.0";13,9;1,34
"117";"0.0";"3.0";"0.0";"0.2";"3.0";"6.0";"false";"9.0";"70.0";13,9;1,34
"118";"0.0";"3.0";"0.0";"0.2";"3.0";"6.0";"true";"12.0";"60.0";13,9;1,34
"119";"0.0";"3.0";"0.0";"0.2";"3.0";"6.0";"true";"12.0";"65.0";13,91;1,34
"120";"0.0";"3.0";"0.0";"0.2";"3.0";"6.0";"true";"12.0";"70.0";13,91;1,34
"121";"0.0";"3.0";"0.0";"0.2";"3.0";"6.0";"true";"15.0";"60.0";13,9;1,34
"122";"0.0";"3.0";"0.0";"0.2";"3.0";"6.0";"true";"15.0";"65.0";13,9;1,34
"123";"0.0";"3.0";"0.0";"0.2";"3.0";"6.0";"true";"15.0";"70.0";13,9;1,34
"124";"0.0";"3.0";"0.0";"0.2";"3.0";"6.0";"true";"9.0";"60.0";13,9;1,34
"125";"0.0";"3.0";"0.0";"0.2";"3.0";"6.0";"true";"9.0";"65.0";13,91;1,34
"126";"0.0";"3.0";"0.0";"0.2";"3.0";"6.0";"true";"9.0";"70.0";13,9;1,34
"127";"0.0";"3.0";"0.0";"0.2";"3.0";"9.0";"false";"12.0";"60.0";13,9;1,34
"128";"0.0";"3.0";"0.0";"0.2";"3.0";"9.0";"false";"12.0";"65.0";13,9;1,34
"129";"0.0";"3.0";"0.0";"0.2";"3.0";"9.0";"false";"12.0";"70.0";13,9;1,34
"130";"0.0";"3.0";"0.0";"0.2";"3.0";"9.0";"false";"15.0";"60.0";13,9;1,34
"131";"0.0";"3.0";"0.0";"0.2";"3.0";"9.0";"false";"15.0";"65.0";13,9;1,34
"132";"0.0";"3.0";"0.0";"0.2";"3.0";"9.0";"false";"15.0";"70.0";13,9;1,34
"133";"0.0";"3.0";"0.0";"0.2";"3.0";"9.0";"false";"9.0";"60.0";13,9;1,34
"134";"0.0";"3.0";"0.0";"0.2";"3.0";"9.0";"false";"9.0";"65.0";13,9;1,34
"135";"0.0";"3.0";"0.0";"0.2";"3.0";"9.0";"false";"9.0";"70.0";13,9;1,34
"136";"0.0";"3.0";"0.0";"0.2";"3.0";"9.0";"true";"12.0";"60.0";13,91;1,34
"137";"0.0";"3.0";"0.0";"0.2";"3.0";"9.0";"true";"12.0";"65.0";13,91;1,34
"138";"0.0";"3.0";"0.0";"0.2";"3.0";"9.0";"true";"12.0";"70.0";13,9;1,34
"139";"0.0";"3.0";"0.0";"0.2";"3.0";"9.0";"true";"15.0";"60.0";13,9;1,34
"140";"0.0";"3.0";"0.0";"0.2";"3.0";"9.0";"true";"15.0";"65.0";13,91;1,34
"141";"0.0";"3.0";"0.0";"0.2";"3.0";"9.0";"true";"15.0";"70.0";13,9;1,34
"142";"0.0";"3.0";"0.0";"0.2";"3.0";"9.0";"true";"9.0";"60.0";13,9;1,34
"143";"0.0";"3.0";"0.0";"0.2";"3.0";"9.0";"true";"9.0";"65.0";13,9;1,34
"144";"0.0";"3.0";"0.0";"0.2";"3.0";"9.0";"true";"9.0";"70.0";13,9;1,34
"145";"0.0";"3.0";"0.0";"0.2";"6.0";"0.0";"false";"12.0";"60.0";13,92;1,34
"146";"0.0";"3.0";"0.0";"0.2";"6.0";"0.0";"false";"12.0";"65.0";13,91;1,34
"147";"0.0";"3.0";"0.0";"0.2";"6.0";"0.0";"false";"12.0";"70.0";13,91;1,34
"148";"0.0";"3.0";"0.0";"0.2";"6.0";"0.0";"false";"15.0";"60.0";13,92;1,34
"149";"0.0";"3.0";"0.0";"0.2";"6.0";"0.0";"false";"15.0";"65.0";13,91;1,34
"150";"0.0";"3.0";"0.0";"0.2";"6.0";"0.0";"false";"15.0";"70.0";13,9;1,34
"151";"0.0";"3.0";"0.0";"0.2";"6.0";"0.0";"false";"9.0";"60.0";13,91;1,34
"152";"0.0";"3.0";"0.0";"0.2";"6.0";"0.0";"false";"9.0";"65.0";13,91;1,34
"153";"0.0";"3.0";"0.0";"0.2";"6.0";"0.0";"false";"9.0";"70.0";13,91;1,34
"154";"0.0";"3.0";"0.0";"0.2";"6.0";"0.0";"true";"12.0";"60.0";13,91;1,34
"155";"0.0";"3.0";"0.0";"0.2";"6.0";"0.0";"true";"12.0";"65.0";13,92;1,34
"156";"0.0";"3.0";"0.0";"0.2";"6.0";"0.0";"true";"12.0";"70.0";13,91;1,34
"157";"0.0";"3.0";"0.0";"0.2";"6.0";"0.0";"true";"15.0";"60.0";13,91;1,34
"158";"0.0";"3.0";"0.0";"0.2";"6.0";"0.0";"true";"15.0";"65.0";13,92;1,34
"159";"0.0";"3.0";"0.0";"0.2";"6.0";"0.0";"true";"15.0";"70.0";13,91;1,34
"160";"0.0";"3.0";"0.0";"0.2";"6.0";"0.0";"true";"9.0";"60.0";13,91;1,34
"161";"0.0";"3.0";"0.0";"0.2";"6.0";"0.0";"true";"9.0";"65.0";13,91;1,34
"162";"0.0";"3.0";"0.0";"0.2";"6.0";"0.0";"true";"9.0";"70.0";13,91;1,34
"163";"0.0";"3.0";"0.0";"0.2";"6.0";"3.0";"false";"12.0";"60.0";13,91;1,34
"164";"0.0";"3.0";"0.0";"0.2";"6.0";"3.0";"false";"12.0";"65.0";13,91;1,34
"165";"0.0";"3.0";"0.0";"0.2";"6.0";"3.0";"false";"12.0";"70.0";13,9;1,34
"166";"0.0";"3.0";"0.0";"0.2";"6.0";"3.0";"false";"15.0";"60.0";13,9;1,34
