"";"producteur_ID";"saison";"culture_label.x";"sup_emblavee_ha";"quant_semence_kg";"quant_uree_kg";"quant_npk_kg";"capital";"cluster";"suptotculmen";"capital_spatialise";"quant_eau";"eau_culture";"cumul_superficie";"surf_verger";"pourcent_emblavee";"sup_non_ajust";"production_kg";"prix_kg_semence";"prix_kg_npk";"prix_kg_uree";"qte_kg_engrais_org";"prix_kg_engrais_org";"qte_kg_insect";"prix_insect";"qte_kg_fong";"prix_fong";"qte_kg_herb";"prix_herb";"charges_tot";"charge_transport_semence";"charge_transport_engrais";"autres_charges_intr";"prix_vente_indiv";"quant_vend_indiv";"cout_sac";"cout_for_sac";"cout_transport";"cout_stockage";"quant_stockage";"estim_depense_non_alimen";"culture_label.y";"cout_eau_irrig";"cout_carbur_irrig";"cout_elect_irrig";"depense_achat_alimen";"rev_tot_elev";"montant_transfert";"montant_rev_nonagri"
"61";1859;"csc";"piment";0,1;0,25;50;25;4;4;0,5;0;72,88;22,62;0,25;0,25;40;0,1;1750;NA;240;240;NA;NA;5;2000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6000;"1";NA;42000;NA;13000;NA;NA;1200000
"62";1859;"csf";"oignon";0,25;0,62;25;50;4;4;0,5;0;65,92;29,95;0,25;0,25;100;0,25;2350;NA;240;300;NA;NA;1;6000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1000;"1";NA;42000;NA;13000;NA;NA;1200000
"63";1870;"csc";"piment";0,5;0,2;200;200;1;2;1;0;84,84;43,79;0,5;0,5;100;0,5;600;NA;300;300;NA;NA;5;7500;NA;NA;5;8000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4000;"11";NA;90000;NA;NA;NA;NA;NA
"64";1871;"csc";"chou";1;0,6;300;300;0;3;4;795000;133,76;42,35;1;3;100;1;4800;NA;250;250;8000;400;10;1200;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12000;"1_9";NA;252000;NA;142000;NA;NA;NA
"65";1871;"csf";"oignon";1;2,5;250;300;0;3;4;795000;114,19;41,88;2;2;50;1;10600;NA;250;250;8000;400;5;2200;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6000;"1_9";NA;252000;NA;142000;NA;NA;NA
"66";1871;"csf";"chou";1;0,5;300;250;0;3;4;795000;114,19;36,16;2;2;50;1;6000;NA;250;250;10000;400;8;1375;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12000;"1_9";NA;252000;NA;142000;NA;NA;NA
"67";1874;"csc";"aubergine_amere";0,11;0,1;25;50;0;2;0,58;482000;125,06;43,79;0,11;0,47;100;0,11;1950;NA;250;300;1125;188;4;1750;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7000;"1_3_other";NA;160000;NA;111000;NA;NA;NA
"68";1874;"csf";"oignon";0,31;0,78;150;0;0;2;0,58;482000;71,14;43,57;0,34;0,24;91,3;0,31;3150;NA;NA;250;1800;188;5;1400;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1_3_other";NA;160000;NA;111000;NA;NA;NA
"69";1874;"csf";"tomate";0,03;0,02;0;21;0;2;0,58;482000;71,14;2,66;0,34;0,24;8,7;0,03;1260;NA;300;NA;300;188;1,5;7000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9200;"1_3_other";NA;160000;NA;111000;NA;NA;NA
"70";1880;"csc";"chou";1;0,4;200;200;1;2;3,5;1112000;133,76;42,77;1;2,5;100;1;9000;NA;260;280;6000;400;6;2000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5000;"1_2_9_16";NA;252000;NA;379500;NA;NA;NA
"71";1880;"csf";"chou";0,5;0,2;150;150;1;2;3,5;1112000;446,86;71,44;2;1,5;25;0,5;4800;NA;260;280;4000;400;5;2400;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5000;"1_2_9_16";NA;252000;NA;379500;NA;NA;NA
"72";1880;"csf";"oignon";1;3;150;150;1;2;3,5;1112000;446,86;165,47;2;1,5;50;1;4000;NA;260;280;4000;400;4;3000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4000;"1_2_9_16";NA;252000;NA;379500;NA;NA;NA
"73";1880;"csf";"pomme_de_terre";0,5;75;100;100;1;2;3,5;1112000;446,86;67,07;2;1,5;25;0,5;3000;NA;260;280;2000;400;4;2750;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1_2_9_16";NA;252000;NA;379500;NA;NA;NA
"74";1882;"csc";"tomate";0,5;0,45;20;20;0;2;2,22;565000;138,11;20,9;1;1,22;50;0,5;2250;NA;250;300;54;188;NA;NA;2,5;5000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1";NA;247000;NA;69000;NA;NA;NA
"75";1882;"csc";"aubergine_amere";0,5;0,4;20;20;0;2;2,22;565000;138,11;52,11;1;1,22;50;0,5;4675;NA;250;300;54;188;5;3200;2,5;5000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1";NA;247000;NA;69000;NA;NA;NA
"76";1882;"csf";"oignon";1;1;100;100;0;2;2,22;565000;105,06;49,52;1;1,22;100;1;6750;NA;250;300;80;188;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2500;"1";NA;247000;NA;69000;NA;NA;NA
"77";1892;"csc";"chou";3;1;500;400;4;3;9;1401400;172,9;63,67;3;6;100;3;19200;NA;250;250;12000;400;10;1100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2500;"1_9_18";NA;378000;NA;172500;140000;NA;NA
"78";1892;"csf";"chou";3;1,5;200;100;4;3;9;1401400;212,04;78,08;4,5;4,5;66,67;3;22800;NA;250;250;4000;400;6;1833,33337402344;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2500;"1_9_18";NA;378000;NA;172500;140000;NA;NA
"79";1892;"csf";"piment";0,5;0,2;200;150;4;3;9;1401400;212,04;25,74;4,5;4,5;11,11;0,5;4320;NA;250;250;4000;400;8;1500;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1_9_18";NA;378000;NA;172500;140000;NA;NA
"80";1892;"csf";"oignon";1;3;250;150;4;3;9;1401400;212,04;30,14;4,5;4,5;22,22;1;4000;NA;250;250;6000;400;5;2200;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5000;"1_9_18";NA;378000;NA;172500;140000;NA;NA
"81";1895;"csc";"chou";0,5;0,3;200;0;4;3;1,6;1254000;142,46;51,92;0,5;1,1;100;0,5;5000;NA;NA;240;NA;NA;9;6000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5000;"3_9_other";NA;3e+05;NA;39000;NA;9e+05;NA
"82";1895;"csf";"tomate";0,5;0,3;200;0;4;3;1,6;1254000;107,67;29,18;1;0,6;50;0,5;5250;NA;NA;240;NA;NA;16;3000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2000;"3_9_other";NA;3e+05;NA;39000;NA;9e+05;NA
